"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/12/2025","1.810","1.840","1.840","1.805","151,40M","-6,94%"
"29/12/2025","1.945","1.915","1.965","1.910","264,31M","2,91%"
"24/12/2025","1.890","1.905","1.910","1.890","83,36M","-0,79%"
"23/12/2025","1.905","1.895","1.910","1.885","58,69M","0,53%"
"22/12/2025","1.895","1.910","1.915","1.885","102,19M","-0,26%"
"19/12/2025","1.900","1.900","1.920","1.900","130,05M","0,00%"
"18/12/2025","1.900","1.900","1.935","1.880","264,35M","4,68%"
"17/12/2025","1.815","1.820","1.845","1.805","55,29M","0,55%"
"16/12/2025","1.805","1.825","1.830","1.800","45,01M","-1,10%"
"15/12/2025","1.825","1.785","1.845","1.775","77,45M","2,53%"
"12/12/2025","1.780","1.780","1.800","1.765","56,18M","0,00%"
"11/12/2025","1.780","1.840","1.865","1.765","115,89M","-2,73%"
"10/12/2025","1.830","1.840","1.865","1.830","51,95M","-0,27%"
"09/12/2025","1.835","1.905","1.905","1.830","104,42M","-3,42%"
"08/12/2025","1.900","1.840","1.905","1.835","173,17M","4,68%"
"05/12/2025","1.815","1.810","1.815","1.800","42,79M","0,28%"
"04/12/2025","1.810","1.850","1.855","1.805","46,53M","-2,16%"
"03/12/2025","1.850","1.840","1.855","1.835","25,00M","0,54%"
"02/12/2025","1.840","1.825","1.860","1.825","52,39M","1,10%"
"01/12/2025","1.820","1.815","1.835","1.815","44,06M","0,55%"
"28/11/2025","1.810","1.810","1.820","1.800","48,94M","0,00%"
"27/11/2025","1.810","1.850","1.850","1.810","70,76M","-1,90%"
"26/11/2025","1.845","1.875","1.875","1.825","64,92M","-0,54%"
"25/11/2025","1.855","1.880","1.880","1.850","53,97M","-1,07%"
"24/11/2025","1.875","1.885","1.885","1.850","88,91M","0,27%"
"21/11/2025","1.870","1.900","1.900","1.865","60,22M","-1,84%"
"20/11/2025","1.905","1.930","1.940","1.900","52,14M","-0,78%"
"19/11/2025","1.920","1.890","1.930","1.880","74,35M","2,13%"
"18/11/2025","1.880","1.910","1.920","1.850","98,43M","-1,57%"
"17/11/2025","1.910","1.880","1.910","1.860","104,43M","1,60%"
"14/11/2025","1.880","1.920","1.925","1.880","110,65M","-2,59%"
"13/11/2025","1.930","1.965","1.970","1.930","89,25M","-1,78%"
"12/11/2025","1.965","1.950","1.980","1.930","96,84M","0,77%"
"11/11/2025","1.950","1.960","1.975","1.925","130,75M","-0,51%"
"10/11/2025","1.960","1.965","1.980","1.935","118,02M","0,77%"
"07/11/2025","1.945","1.925","1.960","1.905","104,73M","1,30%"
"06/11/2025","1.920","1.890","1.950","1.890","140,06M","1,59%"
"05/11/2025","1.890","1.880","1.900","1.850","109,99M","-0,79%"
"04/11/2025","1.905","1.940","1.955","1.885","97,43M","-1,80%"
"03/11/2025","1.940","1.895","1.985","1.895","167,26M","2,92%"
"31/10/2025","1.885","1.980","1.985","1.865","278,13M","-4,80%"
"30/10/2025","1.980","1.955","2.010","1.915","365,30M","2,33%"
"29/10/2025","1.935","1.785","1.945","1.775","465,42M","8,40%"
"28/10/2025","1.785","1.795","1.805","1.775","74,75M","0,00%"
"27/10/2025","1.785","1.760","1.815","1.735","126,43M","1,42%"
