"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/12/2025","21.875","21.975","21.975","21.800","943,70K","-0,46%"
"29/12/2025","21.975","21.975","22.000","21.650","944,00K","-0,11%"
"24/12/2025","22.000","21.875","22.000","21.850","826,30K","0,57%"
"23/12/2025","21.875","21.500","21.900","21.500","1,15M","1,51%"
"22/12/2025","21.550","21.575","21.575","21.375","877,10K","-0,12%"
"19/12/2025","21.575","21.325","21.575","21.250","722,00K","1,17%"
"18/12/2025","21.325","21.500","21.500","21.250","1,27M","-0,35%"
"17/12/2025","21.400","21.150","21.500","21.125","1,25M","1,18%"
"16/12/2025","21.150","21.550","21.575","21.150","3,72M","-1,86%"
"15/12/2025","21.550","21.750","21.750","21.550","1,31M","-0,81%"
"12/12/2025","21.725","21.750","21.850","21.675","993,40K","-0,11%"
"11/12/2025","21.750","21.900","21.925","21.750","1,46M","-0,68%"
"10/12/2025","21.900","21.925","21.950","21.875","1,50M","-0,11%"
"09/12/2025","21.925","22.000","22.000","21.900","1,12M","-0,34%"
"08/12/2025","22.000","22.100","22.100","21.975","635,50K","0,00%"
"05/12/2025","22.000","21.950","22.100","21.950","777,40K","0,23%"
"04/12/2025","21.950","22.025","22.025","21.925","635,10K","-0,11%"
"03/12/2025","21.975","22.000","22.100","21.925","842,30K","-0,11%"
"02/12/2025","22.000","21.900","22.000","21.900","946,20K","0,46%"
"01/12/2025","21.900","22.025","22.025","21.900","1,36M","-0,68%"
"28/11/2025","22.050","22.000","22.050","21.900","1,67M","0,23%"
"27/11/2025","22.000","22.150","22.150","22.000","1,69M","-0,23%"
"26/11/2025","22.050","22.150","22.150","22.050","1,31M","-0,23%"
"25/11/2025","22.100","22.250","22.275","22.100","788,40K","-0,67%"
"24/11/2025","22.250","22.375","22.375","22.125","1,22M","0,56%"
"21/11/2025","22.125","22.100","22.175","22.050","1,23M","0,11%"
"20/11/2025","22.100","22.200","22.200","22.100","1,13M","-0,23%"
"19/11/2025","22.150","22.250","22.250","22.125","813,50K","0,23%"
"18/11/2025","22.100","22.350","22.375","22.100","1,81M","-1,34%"
"17/11/2025","22.400","22.425","22.425","22.275","1,23M","-0,11%"
"14/11/2025","22.425","22.600","22.600","22.425","1,54M","-0,99%"
"13/11/2025","22.650","22.700","22.725","22.525","1,83M","-1,95%"
"12/11/2025","23.100","23.200","23.250","23.100","2,29M","-0,43%"
"11/11/2025","23.200","23.350","23.350","23.025","2,28M","-0,64%"
"10/11/2025","23.350","23.400","23.425","23.325","1,72M","-0,21%"
"07/11/2025","23.400","23.400","23.425","23.300","1,13M","0,00%"
"06/11/2025","23.400","23.600","23.675","23.350","1,84M","-0,85%"
"05/11/2025","23.600","23.200","23.650","23.200","2,65M","1,72%"
"04/11/2025","23.200","23.025","23.375","23.025","1,14M","0,76%"
"03/11/2025","23.025","23.400","23.400","23.000","2,34M","-2,02%"
"31/10/2025","23.500","23.500","23.725","23.500","1,86M","0,00%"
"30/10/2025","23.500","22.975","23.600","22.925","3,07M","2,29%"
"29/10/2025","22.975","22.800","22.975","22.750","749,30K","0,77%"
"28/10/2025","22.800","22.800","23.000","22.775","849,90K","0,33%"
"27/10/2025","22.725","22.700","22.875","22.575","974,60K","0,11%"
"24/10/2025","22.700","22.700","22.900","22.700","1,35M","0,11%"
"23/10/2025","22.675","22.600","22.700","22.550","544,30K","0,55%"
"22/10/2025","22.550","22.600","22.650","22.500","485,20K","0,00%"
"21/10/2025","22.550","22.450","22.650","22.450","1,17M","0,45%"
"20/10/2025","22.450","22.225","22.450","22.200","525,70K","1,01%"
"17/10/2025","22.225","22.350","22.350","22.100","1,15M","-0,67%"
"16/10/2025","22.375","22.250","22.425","22.125","950,00K","1,70%"
"15/10/2025","22.000","22.300","22.375","22.000","2,15M","-1,35%"
"14/10/2025","22.300","22.625","22.625","22.175","1,40M","-1,33%"
"13/10/2025","22.600","22.525","22.650","22.475","835,10K","-0,77%"
"10/10/2025","22.775","22.500","22.775","22.450","990,60K","1,45%"
"09/10/2025","22.450","22.350","22.575","22.325","1,18M","1,35%"
"08/10/2025","22.150","22.425","22.425","22.125","1,51M","-1,23%"
"07/10/2025","22.425","22.500","22.550","22.300","1,50M","-0,33%"
"06/10/2025","22.500","22.700","22.700","22.475","1,05M","-0,88%"
"03/10/2025","22.700","22.575","22.700","22.525","957,00K","0,44%"
"02/10/2025","22.600","22.525","22.625","22.525","733,30K","0,33%"
"01/10/2025","22.525","22.900","22.900","22.500","1,15M","-1,53%"
"30/09/2025","22.875","22.825","22.900","22.800","1,04M","0,22%"
"29/09/2025","22.825","22.750","22.900","22.675","1,03M","0,33%"
"26/09/2025","22.750","22.675","22.800","22.675","659,90K","0,33%"
"25/09/2025","22.675","22.825","22.950","22.650","1,64M","-0,66%"
