"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/12/2025","2.310","2.320","2.330","2.290","6,26M","-0,43%"
"29/12/2025","2.320","2.280","2.320","2.270","9,02M","1,75%"
"24/12/2025","2.280","2.280","2.290","2.270","4,39M","0,00%"
"23/12/2025","2.280","2.270","2.280","2.260","5,75M","0,00%"
"22/12/2025","2.280","2.280","2.280","2.260","5,77M","0,44%"
"19/12/2025","2.270","2.280","2.290","2.250","7,52M","0,44%"
"18/12/2025","2.260","2.270","2.300","2.260","11,76M","-0,44%"
"17/12/2025","2.270","2.280","2.290","2.240","14,50M","-0,44%"
"16/12/2025","2.280","2.260","2.280","2.260","5,70M","0,88%"
"15/12/2025","2.260","2.260","2.280","2.240","14,82M","0,00%"
"12/12/2025","2.260","2.260","2.280","2.250","9,57M","0,00%"
"11/12/2025","2.260","2.280","2.290","2.250","11,07M","-1,31%"
"10/12/2025","2.290","2.290","2.300","2.270","10,11M","0,00%"
"09/12/2025","2.290","2.300","2.300","2.280","8,12M","-0,43%"
"08/12/2025","2.300","2.310","2.310","2.290","6,95M","0,00%"
"05/12/2025","2.300","2.310","2.310","2.290","3,95M","0,00%"
"04/12/2025","2.300","2.300","2.320","2.290","4,37M","-0,43%"
"03/12/2025","2.310","2.300","2.310","2.290","3,13M","0,00%"
"02/12/2025","2.310","2.290","2.310","2.290","5,40M","0,87%"
"01/12/2025","2.290","2.300","2.310","2.280","7,59M","-0,87%"
"28/11/2025","2.310","2.300","2.310","2.280","6,65M","0,43%"
"27/11/2025","2.300","2.330","2.330","2.300","5,26M","-0,86%"
"26/11/2025","2.320","2.330","2.330","2.300","5,54M","0,43%"
"25/11/2025","2.310","2.330","2.340","2.300","5,47M","-0,86%"
"24/11/2025","2.330","2.320","2.330","2.300","7,93M","0,43%"
"21/11/2025","2.320","2.320","2.330","2.300","5,79M","-0,43%"
"20/11/2025","2.330","2.320","2.340","2.320","5,73M","0,43%"
"19/11/2025","2.320","2.310","2.330","2.310","5,69M","0,43%"
"18/11/2025","2.310","2.350","2.350","2.310","9,92M","-1,70%"
"17/11/2025","2.350","2.340","2.370","2.340","7,49M","0,43%"
"14/11/2025","2.340","2.360","2.360","2.330","7,37M","-0,85%"
"13/11/2025","2.360","2.380","2.390","2.350","7,30M","-0,84%"
"12/11/2025","2.380","2.390","2.390","2.360","8,22M","-0,42%"
"11/11/2025","2.390","2.390","2.400","2.370","7,64M","0,00%"
"10/11/2025","2.390","2.390","2.400","2.380","5,36M","0,00%"
"07/11/2025","2.390","2.390","2.390","2.370","9,18M","-0,42%"
"06/11/2025","2.400","2.390","2.400","2.380","5,41M","0,84%"
"05/11/2025","2.380","2.400","2.400","2.370","10,53M","-0,83%"
"04/11/2025","2.400","2.400","2.400","2.380","10,19M","0,00%"
"03/11/2025","2.400","2.400","2.410","2.380","10,14M","0,00%"
"31/10/2025","2.400","2.430","2.440","2.390","13,52M","-1,23%"
"30/10/2025","2.430","2.380","2.440","2.370","30,87M","2,53%"
"29/10/2025","2.370","2.350","2.380","2.340","10,53M","0,85%"
"28/10/2025","2.350","2.360","2.360","2.330","7,23M","0,43%"
"27/10/2025","2.340","2.350","2.370","2.300","30,70M","-0,43%"
"24/10/2025","2.350","2.320","2.380","2.320","16,37M","1,29%"
"23/10/2025","2.320","2.300","2.330","2.290","5,93M","1,31%"
"22/10/2025","2.290","2.350","2.360","2.290","12,01M","-2,14%"
"21/10/2025","2.340","2.270","2.340","2.270","16,07M","3,08%"
"20/10/2025","2.270","2.210","2.270","2.200","10,33M","2,71%"
"17/10/2025","2.210","2.210","2.220","2.170","13,41M","0,00%"
"16/10/2025","2.210","2.220","2.250","2.210","13,97M","1,84%"
"15/10/2025","2.170","2.300","2.310","2.170","31,53M","-5,65%"
"14/10/2025","2.300","2.350","2.360","2.280","14,06M","-1,71%"
"13/10/2025","2.340","2.340","2.350","2.310","9,59M","-1,68%"
