Sampel;X1;X2;X3;X4;X5
1;2,38;2,45;2,4;2,35;2,42
2;2,39;2,4;2,43;2,34;2,4
3;2,4;2,37;2,36;2,36;2,35
4;2,39;2,35;2,37;2,39;2,38
5;2,38;2,42;2,39;2,35;2,41
6;2,41;2,38;2,37;2,42;2,42
7;2,36;2,38;2,35;2,38;2,37
8;2,39;2,39;2,36;2,41;2,36
9;2,35;2,38;2,37;2,37;2,39
10;2,43;2,39;2,36;2,42;2,37
11;2,39;2,36;2,42;2,36;2,36
12;2,38;2,35;2,35;2,35;2,39
13;2,42;2,37;2,4;2,43;2,41
14;2,36;2,38;2,38;2,36;2,36
15;2,45;2,43;2,41;2,45;2,45
16;2,36;2,42;2,42;2,43;2,37
17;2,38;2,43;2,37;2,39;2,38
18;2,4;2,35;2,39;2,35;2,35
19;2,39;2,45;2,44;2,38;2,37
20;2,35;2,41;2,45;2,47;2,35
